0000_00.00.07.640-00.00.09.050	In 1989, 
0079_00.00.51.830-00.00.53.950	The group consists of the overweight and intelligent Ben,
0079_00.00.53.950-00.00.56.400	asthmatic Eddie,
0079_00.00.56.400-00.00.56.750	UNMATCHED: who lives with his overbearing mother,
0079_00.00.56.760-00.00.58.230	Beverly,
0079_00.00.58.230-00.00.59.490	who lives with her abusive father,
0079_00.00.59.490-00.01.01.280	the comical Richie,
0079_00.01.01.280-00.01.03.030	Jewish Boy Scout Stanley,
0079_00.01.03.030-00.01.05.590	and African-American outcast Mike.
0079_00.01.05.590-00.01.09.520	In turn, all of them are tormented by a gang of local bullies
0079_00.01.09.520-00.01.11.190	led by Henry Bowers.
0079_00.01.11.190-00.01.21.690	The Losers theorize that Pennywise is not just a deranged man in costume, but is an alien creature that surfaces every 30 years in Derry to murder children.
0079_00.01.21.690-00.01.22.710	They dub him "It". 
0079_00.01.22.710-00.01.28.590	To avenge Georgie and others killed by It, the Losers venture into the sewers where the clown lurks.
0079_00.01.28.590-00.01.30.640	They are followed by Henry and his friends
0079_00.01.30.640-00.01.32.630	Victor and Belch,
0079_00.01.32.630-00.01.34.190	who threaten Stan,
0079_00.01.34.190-00.01.36.880	only for It to kill Victor and Belch
0079_00.01.36.880-00.01.39.730	but spares the terrified Henry, whose hair turns white.
0079_00.01.39.730-00.01.42.030	It catches up to the Losers and grabs Stan,
0079_00.01.42.040-00.01.44.930	bragging that he is immortal and eats children.
0079_00.01.44.930-00.01.51.240	Guessing It's powers are based on imagination, the Losers fight back using the same power,
0079_00.01.51.240-00.01.54.390	melting Pennywise's face with imaginary battery acid,
0079_00.01.54.390-00.01.58.220	and Beverly smashes a hole in his head using a silver projectile.
0079_00.01.58.220-00.02.00.120	Pennywise escapes wounded,
0079_00.02.00.120-00.02.04.160	and the seven make a promise to return and kill him should It resurface.
0079_00.02.04.160-00.02.10.770	Henry is arrested and institutionalized when he falsely confesses to murdering his friends and the other children killed by It.
0079_00.02.10.770-00.02.16.210	In 1990, Mike, a librarian still living in Derry, hears of the mysterious death of 
0079_00.02.16.210-00.02.19.880	a girl named Laurie in her backyard, suggesting Pennywise has resumed murdering children.
0079_00.02.19.880-00.02.25.980	Mike summons his six friends back to Derry to fulfill their vow.
0079_00.02.25.980-00.02.28.210	Bill has become a horror novelist
0079_00.02.28.210-00.02.30.280	married to actress Audra Phillips,
0079_00.02.30.280-00.02.31.880	Ben is an architect,
0079_00.02.31.880-00.02.33.870	Beverly is a fashion designer
0079_00.02.33.870-00.02.34.990	in an abusive relationship
0079_00.02.34.990-00.02.36.190	with Tom Rogan,
0079_00.02.36.190-00.02.38.470	Richie is a late-night TV comedian,
0079_00.02.38.470-00.02.41.590	Eddie runs a limousine service
0079_00.02.41.590-00.02.41.970	UNMATCHED: but still lives with his mother,
0079_00.02.41.970-00.02.43.930	and Stan is a real estate broker.
0079_00.02.43.930-00.02.45.760	While five of them agree to come, 
0079_00.02.45.760-00.02.48.240	Stan commits suicide in his bathtub
0079_00.02.48.240-00.02.50.260	and writes "It" on the wall in blood.
0079_00.02.50.260-00.02.50.610	UNMATCHED: The remaining six are individually harassed by Pennywise
0079_00.02.50.620-00.02.54.560	before reuniting for dinner,
0079_00.02.54.560-00.02.57.030	though Pennywise frightens them there, too.
0079_00.02.57.030-00.02.59.560	They learn of Stan's suicide shortly after.
0079_00.02.59.560-00.03.02.580	Elsewhere, an older Henry
0079_00.03.02.580-00.03.04.850	is visited by Pennywise, who sends him to Derry to kill the Losers.
0079_00.03.04.850-00.03.06.630	Audra also arrives in town
0079_00.03.06.630-00.03.11.270	but falls victim to It's paralyzing Deadlights
0079_00.03.11.270-00.03.12.130	and falls into a catatonic state.
0079_00.03.12.140-00.03.13.660	Henry wounds Mike
0079_00.03.13.660-00.03.16.930	but is killed by his own knife during a scuffle with the other Losers.
0079_00.03.16.930-00.03.18.350	With Mike hospitalized,
0079_00.03.18.350-00.03.21.460	the five remaining Losers decide to destroy It for good.
0079_00.03.21.460-00.03.23.520	They descend into the sewers once again,
0079_00.03.23.520-00.03.24.390	encountering It
0079_00.03.24.390-00.03.26.360	in the form of Georgie.
0079_00.03.26.370-00.03.27.990	Bill overcomes the illusion.
0079_00.03.27.990-00.03.31.420	The Losers confront It in its lair,
0079_00.03.31.420-00.03.32.990	who now appears as a monstrous spider.
0079_00.03.32.990-00.03.34.230	Eddie is killed by It,
0079_00.03.34.230-00.03.37.260	but Beverly mortally wounds It with her slingshot,
0079_00.03.37.260-00.03.39.880	and the Losers tear the spider apart.
0079_00.03.39.880-00.03.41.780	They remove the comatose Audra
0079_00.03.41.780-00.03.45.590	and Eddie's body from the sewers, burying him in Derry Cemetery.
0079_00.03.45.590-00.03.49.520	The Losers go their separate ways, free from its torment forever.
0079_00.03.49.530-00.03.51.390	Richie is cast in a film,
0079_00.03.51.390-00.03.51.710	UNMATCHED: Beverly and Ben get married and are expecting their first child,
0079_00.03.51.710-00.03.55.850	and Mike recovers.
0079_00.03.55.850-00.04.03.730	Bill manages to coax Audra out of her catatonia by going on a ride on his childhood bicycle, which had once freed a young Stan from his fear.
0079_00.04.03.730-00.04.08.660	With It gone, the Losers can move on with their lives and leave Derry behind.
0080_00.00.12.270-00.00.15.160	In the aftermath of Superman's death,
0080_00.00.15.160-00.00.18.180	intelligence officer, Amanda Waller,
0080_00.00.18.180-00.00.20.590	assembles Task Force X,
0080_00.00.20.590-00.00.23.320	a team of dangerous criminals imprisoned at Belle Reve prison, 
0080_00.00.23.320-00.00.25.560	consisting of elite hitman, Deadshot,
0080_00.00.25.560-00.00.27.590	former psychiatrist, Harley Quinn,
0080_00.00.27.590-00.00.29.930	ex-gangster El Diablo,
0080_00.00.29.930-00.00.32.560	opportunistic thief, Captain Boomerang, 
0080_00.00.32.560-00.00.35.690	genetic mutation, Killer Croc, 
0080_00.00.35.690-00.00.37.930	and specialized assassin, Slipknot.
0080_00.00.37.935-00.00.41.615	They are placed under command of Colonel Rick Flag,
0080_00.00.41.615-00.00.45.220	 to be used as disposable assets in high-risk missions for the United States government.
0080_00.00.45.220-00.00.51.730	Each member has a nano bomb implanted in their neck, designed to detonate, should any member rebel to try to escape.
0080_00.00.51.735-00.00.59.395	One of Amanda Waller's intended recruits is Rick Flag's girlfriend, Dr. June Moone, an archaeologist,
0080_00.00.59.395-00.01.01.685	possessed by a witch goddess, known as The Enchantress.
0080_00.01.01.685-00.01.04.865	Enchantress quickly turns on Waller, deciding to eradicate humankind
0080_00.01.04.865-00.01.06.730	with a mystical weapon for imprisoning her.
0080_00.01.06.730-00.01.09.150	She besieges Midway City
0080_00.01.09.150-00.01.13.190	by transforming its populace into a horde of monsters
0080_00.01.13.190-00.01.16.290	and summons her brother, Incubus, to assist her.
0080_00.01.16.295-00.01.18.625	Waller then deploys the squad to extract a high profile mark from Midway, 
0080_00.01.18.625-00.01.22.320	which is reported to be under a terrorist attack.
0080_00.01.22.320-00.01.26.190	Harley's homicidal lover, the Joker, finds out about her predicament
0080_00.01.26.190-00.01.30.760	and tortures Belle Reve Security Officer Griggs
0080_00.01.30.760-00.01.31.540	 into leading him to the facility where the nano bombs are made.
0080_00.01.31.540-00.01.36.450	There, he blackmails Dr. Van Criss into disabling Harley's bomb.
0080_00.01.36.450-00.01.40.220	On approach, the squad's helicopter is shot down, 
0080_00.01.40.220-00.01.42.190	forcing them to proceed on foot to their target.
0080_00.01.42.190-00.01.46.350	Boomerang inaccurately convinces Slipknot that the bombs are a ruse to keep them in check.
0080_00.01.46.350-00.01.50.090	Slipknot attempts to escape and Rick Flagg kills him via his nano bomb,
0080_00.01.50.090-00.01.53.330	while the squad is attacked by Enchantress' minions.
0080_00.01.53.335-00.01.57.025	They eventually fight their way through to a safe room
0080_00.01.57.025-00.01.58.395	where they learn that their mark is Waller herself,
0080_00.01.58.395-00.02.00.945	who is attempting to cover up her involvement in Enchantress' siege. 
0080_00.02.00.945-00.02.05.765	The squad escorts Amanda Waller to a rooftop for extraction, 
0080_00.02.05.765-00.02.10.065	but the arriving helicopter has been hijacked by the Joker and his men, who open fire on the squad, 
0080_00.02.10.065-00.02.11.485	while Harley climbs aboard
0080_00.02.11.485-00.02.14.295	upon Dr. Van Criss disarming the bomb.
0080_00.02.14.295-00.02.17.285	Waller's men shoot down the helicopter
0080_00.02.17.285-00.02.19.025	and Harley falls out while the Joker is preseumed dead,
0080_00.02.19.025-00.02.20.665	after which Harley rejoins the squad.
0080_00.02.20.670-00.02.25.690	Alerted to Waller's whereabouts, Enchantress' minions arrive and kidnap her.
0080_00.02.25.690-00.02.30.725	Deadshot finds Waller's confidential files and learns the truth about Enchantress.
0080_00.02.30.725-00.02.33.615	Flag is then forced to confess the truth, 
0080_00.02.33.615-00.02.37.290	causing the squad members to abandon him.
0080_00.02.37.290-00.02.38.410	With Amanda Waller compromised, Rick Flag relieves the squad of the mission, but chooses to continue.
0080_00.02.38.410-00.02.40.190	UNMATCHED
0080_00.02.40.190-00.02.44.460	Realizing they have an opportunity to prove themselves, they soon rejoin him
0080_00.02.44.460-00.02.47.630	and locate Enchantress at a partially flooded subway station.
0080_00.02.47.640-00.02.51.560	Killer Croc and a group of Navy SEALs, led my Lieutenant GQ Edwards,
0080_00.02.51.560-00.02.54.870	go underwater to plant a bomb underneath Incubus.
0080_00.02.54.870-00.02.58.230	El Diablo embraces his abilities and distracts Incubus
0080_00.02.58.230-00.03.01.390	long enough for the bomb to detonate undernearth, killing them both as well as Edwards.
0080_00.03.01.390-00.03.04.580	The remaining squad members battle Enchantress together, but are ultimately defeated. 
0080_00.03.04.590-00.03.07.860	Enchantress offers to fulfill their deepest desires in exchange for their allegiance
0080_00.03.07.860-00.03.11.460	and Harley feigns interest
0080_00.03.11.460-00.03.13.980	in order to get close enough to cut out Enchantress' heart.
0080_00.03.13.990-00.03.16.130	Killer Croc then throws explosives into Enchantress' weapon
0080_00.03.16.130-00.03.19.460	and Deadshot shoots them, destroying the device.
0080_00.03.19.460-00.03.21.630	Flag takes Enchantress' heart and crushes it,
0080_00.03.21.630-00.03.23.220	 finally freeing June from the curse.
0080_00.03.23.225-00.03.25.595	Amanda Waller, still alive, emerges
0080_00.03.25.595-00.03.29.390	and the squad members are returned to Belle Reve with ten years off their sentences.
0080_00.03.29.390-00.03.33.090	All but Captain Boomerang are allowed special privileges.
0080_00.03.33.100-00.03.36.440	The Joker, alive and unscathed, breaks into the penitentiary
0080_00.03.36.440-00.03.37.450	and rescues Harley.
0080_00.03.37.455-00.03.43.495	In a mid-credits scene, Amanda Waller meets with Bruce Wayne, who agrees to protect her from the backlash against her role in Enchantress' rampage,
0080_00.03.43.495-00.03.49.525	in exchange for access to the government's files on the expanding metahuman community.
0081_00.00.01.090-00.00.05.630	The Asgardian, Loki, who we just met in the last movie, Thor, 
0081_00.00.05.630-00.00.08.480	encounters The Other,
0081_00.00.08.480-00.00.10.830	the leader of an extraterrestrial race known as the Chitauri.
0081_00.00.10.830-00.00.14.860	In exchange for retrieving the tesseract, a powerful energy source of unknown potential, 
0081_00.00.14.860-00.00.17.390	The Other promises Loki an army with which he can subjugate Earth.
0081_00.00.17.390-00.00.23.210	Nick Fury, director of the espionage agency Shield, and his lieutenant, Agent Maria Hill, 
0081_00.00.23.210-00.00.26.560	arrive at a remote research facility during an evacuation
0081_00.00.26.560-00.00.30.090	where physicist Dr. Erik Selving is leading a research team experimenting on the tesseract.
0081_00.00.30.090-00.00.35.280	Agent Phil Coulson explains that the object has begun radiating an unusual form of energy.
0081_00.00.35.280-00.00.36.590	The tesseract suddenly activates
0081_00.00.36.590-00.00.39.370	and opens a wormhole,
0081_00.00.39.370-00.00.40.460	allowing Loki to reach Earth.
0081_00.00.40.460-00.00.43.050	Loki takes the tesseract and uses his scepter to enslave Selvig
0081_00.00.43.050-00.00.46.760	and a couple of agents, including Clint Barton, to aid him in his getaway.
0081_00.00.46.760-00.00.49.590	In response to the attack, Fury reactivates the Avengers Initiative.
0081_00.00.49.595-00.00.54.095	Agent Natasha Romanoff is sent to Calcutta to recruit Dr. Bruce Banner
0081_00.00.54.095-00.00.56.565	to trace the tesseract through its gamma radiation emissions.
0081_00.00.56.570-00.00.59.990	Coulson visits Tony Stark to have him review Selving's research 
0081_00.00.59.990-00.01.03.260	and Fury approaches Steve Rogers with an assignment to retrieve the tesseract.
0081_00.01.03.265-00.01.04.325	In Stuttgart,
0081_00.01.04.325-00.01.07.665	Barton steals iridium needed to stabilize the tesseract's power
0081_00.01.07.665-00.01.10.945	while Loki causes a distraction, 
0081_00.01.10.945-00.01.13.095	leading to a confrontation with Rogers, Stark, and Romanoff
0081_00.01.13.095-00.01.14.190	that ends with Loki's surrender.
0081_00.01.14.190-00.01.15.930	While Loki is being escorted to Shield,
0081_00.01.15.930-00.01.20.050	Thor, his adoptive brother, arrives and frees him,
0081_00.01.20.050-00.01.22.440	hoping to convince him to abandon his plan and return to Asgard.
0081_00.01.22.440-00.01.27.210	After a confrontation with Stark and Rogers,
0081_00.01.27.210-00.01.29.030	Thor agrees to take Loki to Shield's flying aircraft carrier, the Helicarrier.
0081_00.01.29.030-00.01.30.390	There, Loki is imprisoned, 
0081_00.01.30.390-00.01.32.790	while Banner and Stark attempt to locate the tesseract.
0081_00.01.32.790-00.01.42.650	The Avengers become divided both over how to approach Loki and the revelation that Shield plans to harness the tesseract to develop weapons as a deterrent against hostile extraterrestrials.
0081_00.01.42.650-00.01.47.090	As the group argues, Barton and Loki's other possessed agents attack the Helicarrier, disabling its engines in flight
0081_00.01.47.090-00.01.49.090	and causing Banner to transform into the Hulk.
0081_00.01.49.095-00.01.51.395	Stark and Rogers try to restart the damaged engine
0081_00.01.51.395-00.01.54.760	and Thor attempts to stop the Hulk's rampage.
0081_00.01.54.760-00.01.57.160	Romanoff fights Barton and knocks him unconscious, breaking Loki's mind control.
0081_00.01.57.165-00.01.59.435	Loki escapes after killing Coulson
